route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,605116,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338844,45278,0,0
1,1,605117,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338845,45278,0,0
1,1,605118,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338847,45277,0,0
1,1,605119,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,340399,45277,0,0
1,1,605120,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338837,45277,0,0
1,1,605121,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338831,45277,0,0
1,1,605122,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,340405,45277,0,0
1,1,605123,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338833,45277,0,0
1,1,605124,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338849,45277,0,0
1,1,605125,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338841,45277,0,0
1,1,605126,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,340417,45277,0,0
1,1,605127,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338826,45277,0,0
1,1,605128,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338844,45277,0,0
1,1,605129,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338836,45278,0,0
1,1,605130,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338829,45278,0,0
1,1,605131,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,340402,45278,0,0
1,1,605132,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338838,45278,0,0
1,1,605133,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338839,45278,0,0
1,1,605134,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338834,45278,0,0
1,1,605135,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338846,45278,0,0
1,1,605136,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338842,45278,0,0
1,1,605137,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338843,45278,0,0
1,1,605138,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338847,45278,0,0
1,1,605139,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,340399,45278,0,0
1,1,605140,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338837,45277,0,0
1,1,605141,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338845,45278,0,0
1,1,605142,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338829,45278,0,0
1,1,605143,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338849,45278,0,0
1,1,605144,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338841,45278,0,0
1,1,605145,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338843,45278,0,0
1,1,605146,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338836,45277,0,0
1,1,605147,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,340402,45277,0,0
1,1,605148,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338839,45277,0,0
1,1,605149,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338846,45277,0,0
1,1,605150,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338837,45279,0,0
1,1,605151,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338836,45277,0,0
