stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
LIVCOUNW,1970,E LIVINGSTON AVE & COUNTRY CLUB RD,,39.944344,-82.868668
LIVSHAW,1971,E LIVINGSTON AVE & SHADY LANE RD,,39.944474,-82.871041
LIVHAMW,1973,E LIVINGSTON AVE & S HAMILTON RD,,39.944898,-82.878506
LIVWESW,1975,E LIVINGSTON AVE & WESTPHAL AVE,,39.945181,-82.883452
LIVYEAW,1976,E LIVINGSTON AVE & S YEARLING RD,,39.945396,-82.887141
LIVELDW,1977,E LIVINGSTON AVE & ELDERWOOD AVE,,39.94565,-82.891513
LIVBEEW,1978,E LIVINGSTON AVE & BEECHWOOD RD,,39.94583,-82.894819
LIVCOURW,1979,E LIVINGSTON AVE & COURTRIGHT RD,,39.945984,-82.897582
LIVRANW,1980,E LIVINGSTON AVE & RAND AVE,,39.946214,-82.901942
LIVBARW,1983,E LIVINGSTON AVE & BARNETT RD,,39.946455,-82.906055
LIVHAMW1,1984,E LIVINGSTON AVE & S HAMPTON RD,,39.946755,-82.911858
LIVJAMW,1985,E LIVINGSTON AVE & S JAMES RD,,39.946932,-82.915257
LIVKENW,1986,E LIVINGSTON AVE & KENILWORTH PL,,39.947098,-82.918575
LIVVERW,1990,E LIVINGSTON AVE & VERNON RD,,39.947688,-82.929326
LIVMONW,1991,E LIVINGSTON AVE & MONTROSE AVE,,39.947838,-82.932096
LIVCOLW,1994,E LIVINGSTON AVE & COLLEGE AVE,,39.948101,-82.936901
LIVMAYW,1996,E LIVINGSTON AVE & MAYFIELD PL,,39.948295,-82.941002
LIVRHOW,1998,E LIVINGSTON AVE & RHOADS AVE,,39.948691,-82.948918
LIVFAIW,1999,E LIVINGSTON AVE & FAIRWOOD AVE,,39.948928,-82.953394
LIVLILW,2002,E LIVINGSTON AVE & LILLEY AVE,,39.949148,-82.957908
LIVLOCW,2005,E LIVINGSTON AVE & LOCKBOURNE RD,,39.949392,-82.962846
LIVWILW,2006,E LIVINGSTON AVE & WILSON AVE,,39.949613,-82.967516
LIVCHAW,2008,E LIVINGSTON AVE & S CHAMPION AVE,,39.949748,-82.970345
LIVOHIW,2009,E LIVINGSTON AVE & S OHIO AVE,,39.949822,-82.971857
LIVANNW,2012,E LIVINGSTON AVE & ANN ST,,39.951749,-82.980546
LIVPARW,2013,E LIVINGSTON AVE & PARSONS AVE,,39.95232,-82.983164
LIVGRANW,2015,E LIVINGSTON AVE & S GRANT AVE,,39.952509,-82.988757
LIVMOHW,2016,E LIVINGSTON AVE & MOHAWK ST,,39.952709,-82.99312
FUL3RDW,2017,E FULTON ST & S 3RD ST,,39.953864,-82.996165
FULHIGW,2018,E FULTON ST & S HIGH ST,,39.953592,-82.998468
EASOFFE,2292,EASTGREEN BLVD & OFFICEVIEW PL,,39.938296,-82.829369
HIGBROS,2900,N HIGH ST & W BROAD ST,,39.962805,-83.000871
LIVNOEE,3187,E LIVINGSTON AVE & NOE BIXBY RD,,39.943321,-82.853274
LIVLONE,3188,E LIVINGSTON AVE & LONSDALE RD,,39.94315,-82.850289
